ColonyID,SampleID,Species,Phenotype,Treatment,Tank,Assigned_Timepoint,Date_Sampled,Assay,Notes
244,PC-244-A3,Porites compressa,Resistant,Ambient,A3,TP2,,Physiology & C13,
244,PC-244-H1,Porites compressa,Resistant,High,H1,BACKUP,,Physiology & C13,
241,PC-241-H2,Porites compressa,Susceptible,High,H2,TP1,,Physiology & C13,
244,PC-244-H3,Porites compressa,Resistant,High,H3,TP2,,Physiology & C13,
247,PC-247-A1,Porites compressa,Susceptible,Ambient,A1,TP2,,Physiology & C13,
247,PC-247-A2,Porites compressa,Susceptible,Ambient,A2,BACKUP,,Physiology & C13,
20,MC-20-H3-pHi,Montipora capitata,Resistant,High,H3,TP1,,Intracellular pH,
247,PC-247-H1,Porites compressa,Susceptible,High,H1,TP2,,Physiology & C13,
247,PC-247-H2,Porites compressa,Susceptible,High,H2,BACKUP,,Physiology & C13,
20,MC-20-H3,Montipora capitata,Resistant,High,H3,TP1,,Physiology & C13,
203,MC-203-H3-pHi,Montipora capitata,Susceptible,High,H3,TP1,,Intracellular pH,
248,PC-248-A2,Porites compressa,Resistant,Ambient,A2,TP2,,Physiology & C13,
248,PC-248-A3,Porites compressa,Resistant,Ambient,A3,BACKUP,,Physiology & C13,
203,MC-203-H3,Montipora capitata,Susceptible,High,H3,TP1,,Physiology & C13,
248,PC-248-H2,Porites compressa,Resistant,High,H2,TP2,,Physiology & C13,
248,PC-248-H3,Porites compressa,Resistant,High,H3,BACKUP,,Physiology & C13,
209,MC-209-H3-pHi,Montipora capitata,Susceptible,High,H3,TP1,,Intracellular pH,
28,PC-28-A2,Porites compressa,Susceptible,Ambient,A2,TP2,,Physiology & C13,
28,PC-28-A3,Porites compressa,Susceptible,Ambient,A3,BACKUP,,Physiology & C13,
209,MC-209-H3,Montipora capitata,Susceptible,High,H3,TP1,,Physiology & C13,
28,PC-28-H2,Porites compressa,Susceptible,High,H2,TP2,,Physiology & C13,
28,PC-28-H3,Porites compressa,Susceptible,High,H3,BACKUP,,Physiology & C13,
29,PC-29-A1,Porites compressa,Resistant,Ambient,A1,BACKUP,,Physiology & C13,
214,MC-214-H3-pHi,Montipora capitata,Resistant,High,H3,TP1,,Intracellular pH,
29,PC-29-A3,Porites compressa,Resistant,Ambient,A3,TP2,,Physiology & C13,
29,PC-29-H1,Porites compressa,Resistant,High,H1,BACKUP,,Physiology & C13,
214,MC-214-H3,Montipora capitata,Resistant,High,H3,TP1,,Physiology & C13,
29,PC-29-H3,Porites compressa,Resistant,High,H3,TP2,,Physiology & C13,
27,PC-27-H3,Porites compressa,Resistant,High,H3,TP1,,Physiology & C13,
225,PC-225-A2,Porites compressa,Susceptible,Ambient,A2,TP2,,Physiology & C13,
225,PC-225-A3,Porites compressa,Susceptible,Ambient,A3,BACKUP,,Physiology & C13,
41,PC-41-H3,Porites compressa,Susceptible,High,H3,TP1,,Physiology & C13,
225,PC-225-H2,Porites compressa,Susceptible,High,H2,TP2,,Physiology & C13,
225,PC-225-H3,Porites compressa,Susceptible,High,H3,BACKUP,,Physiology & C13,
226,PC-226-A1,Porites compressa,Resistant,Ambient,A1,BACKUP,,Physiology & C13,
44,PC-44-H3,Porites compressa,Resistant,High,H3,TP1,,Physiology & C13,
226,PC-226-A3,Porites compressa,Resistant,Ambient,A3,TP2,,Physiology & C13,
226,PC-226-H1,Porites compressa,Resistant,High,H1,BACKUP,,Physiology & C13,
233,PC-233-H3,Porites compressa,Susceptible,High,H3,TP1,,Physiology & C13,
226,PC-226-H3,Porites compressa,Resistant,High,H3,TP2,,Physiology & C13,
241,PC-241-A1,Porites compressa,Susceptible,Ambient,A1,BACKUP,,Physiology & C13,
236,PC-236-H3,Porites compressa,Resistant,High,H3,TP1,,Physiology & C13,
241,PC-241-A3,Porites compressa,Susceptible,Ambient,A3,TP2,,Physiology & C13,
241,PC-241-H1,Porites compressa,Susceptible,High,H1,BACKUP,,Physiology & C13,
239,PC-239-H3,Porites compressa,Susceptible,High,H3,TP1,,Physiology & C13,
241,PC-241-H3,Porites compressa,Susceptible,High,H3,TP2,,Physiology & C13,
242,PC-242-A1,Porites compressa,Resistant,Ambient,A1,TP2,,Physiology & C13,
242,PC-242-A2,Porites compressa,Resistant,Ambient,A2,BACKUP,,Physiology & C13,
247,PC-247-H3,Porites compressa,Susceptible,High,H3,TP1,,Physiology & C13,
242,PC-242-H1,Porites compressa,Resistant,High,H1,TP2,,Physiology & C13,
242,PC-242-H2,Porites compressa,Resistant,High,H2,BACKUP,,Physiology & C13,
242,PC-242-H3,Porites compressa,Resistant,High,H3,TP1,,Physiology & C13,
