ColonyID,SampleID,Species,Phenotype,Treatment,Tank,Assigned_Timepoint,Date_Sampled,Assay,Notes
202,MC-202-H3-pHi,Montipora capitata,Resistant,High,H3,TP2,,Intracellular pH,
202,MC-202-H3,Montipora capitata,Resistant,High,H3,TP2,,Physiology & C13,
203,MC-203-A1-pHi,Montipora capitata,Susceptible,Ambient,A1,TP2,,Intracellular pH,
203,MC-203-A1,Montipora capitata,Susceptible,Ambient,A1,TP2,,Physiology & C13,
203,MC-203-A2-pHi,Montipora capitata,Susceptible,Ambient,A2,BACKUP,,Intracellular pH,
203,MC-203-A2,Montipora capitata,Susceptible,Ambient,A2,BACKUP,,Physiology & C13,
19,MC-19-A2-pHi,Montipora capitata,Susceptible,Ambient,A2,TP1,,Intracellular pH,
19,MC-19-A2,Montipora capitata,Susceptible,Ambient,A2,TP1,,Physiology & C13,
203,MC-203-H1-pHi,Montipora capitata,Susceptible,High,H1,TP2,,Intracellular pH,
203,MC-203-H1,Montipora capitata,Susceptible,High,H1,TP2,,Physiology & C13,
203,MC-203-H2-pHi,Montipora capitata,Susceptible,High,H2,BACKUP,,Intracellular pH,
203,MC-203-H2,Montipora capitata,Susceptible,High,H2,BACKUP,,Physiology & C13,
202,MC-202-A2-pHi,Montipora capitata,Resistant,Ambient,A2,TP1,,Intracellular pH,
202,MC-202-A2,Montipora capitata,Resistant,Ambient,A2,TP1,,Physiology & C13,
206,MC-206-A2-pHi,Montipora capitata,Resistant,Ambient,A2,TP1,,Intracellular pH,
206,MC-206-A2,Montipora capitata,Resistant,Ambient,A2,TP1,,Physiology & C13,
204,MC-204-A2-pHi,Montipora capitata,Resistant,Ambient,A2,TP2,,Intracellular pH,
204,MC-204-A2,Montipora capitata,Resistant,Ambient,A2,TP2,,Physiology & C13,
204,MC-204-A3-pHi,Montipora capitata,Resistant,Ambient,A3,BACKUP,,Intracellular pH,
204,MC-204-A3,Montipora capitata,Resistant,Ambient,A3,BACKUP,,Physiology & C13,
213,MC-213-A2-pHi,Montipora capitata,Susceptible,Ambient,A2,TP1,,Intracellular pH,
213,MC-213-A2,Montipora capitata,Susceptible,Ambient,A2,TP1,,Physiology & C13,
204,MC-204-H2-pHi,Montipora capitata,Resistant,High,H2,TP2,,Intracellular pH,
204,MC-204-H2,Montipora capitata,Resistant,High,H2,TP2,,Physiology & C13,
204,MC-204-H3-pHi,Montipora capitata,Resistant,High,H3,BACKUP,,Intracellular pH,
204,MC-204-H3,Montipora capitata,Resistant,High,H3,BACKUP,,Physiology & C13,
206,MC-206-A1-pHi,Montipora capitata,Resistant,Ambient,A1,BACKUP,,Intracellular pH,
206,MC-206-A1,Montipora capitata,Resistant,Ambient,A1,BACKUP,,Physiology & C13,
26,PC-26-A2,Porites compressa,Susceptible,Ambient,A2,TP1,,Physiology & C13,
43,PC-43-A2,Porites compressa,Susceptible,Ambient,A2,TP1,,Physiology & C13,
206,MC-206-A3-pHi,Montipora capitata,Resistant,Ambient,A3,TP2,,Intracellular pH,
206,MC-206-A3,Montipora capitata,Resistant,Ambient,A3,TP2,,Physiology & C13,
206,MC-206-H1-pHi,Montipora capitata,Resistant,High,H1,BACKUP,,Intracellular pH,
206,MC-206-H1,Montipora capitata,Resistant,High,H1,BACKUP,,Physiology & C13,
235,PC-235-A2,Porites compressa,Susceptible,Ambient,A2,TP1,,Physiology & C13,
238,PC-238-A2,Porites compressa,Resistant,Ambient,A2,TP1,,Physiology & C13,
206,MC-206-H3-pHi,Montipora capitata,Resistant,High,H3,TP2,,Intracellular pH,
206,MC-206-H3,Montipora capitata,Resistant,High,H3,TP2,,Physiology & C13,
209,MC-209-A1-pHi,Montipora capitata,Susceptible,Ambient,A1,TP2,,Intracellular pH,
209,MC-209-A1,Montipora capitata,Susceptible,Ambient,A1,TP2,,Physiology & C13,
209,MC-209-A2-pHi,Montipora capitata,Susceptible,Ambient,A2,BACKUP,,Intracellular pH,
209,MC-209-A2,Montipora capitata,Susceptible,Ambient,A2,BACKUP,,Physiology & C13,
244,PC-244-A2,Porites compressa,Resistant,Ambient,A2,TP1,,Physiology & C13,
29,PC-29-A2,Porites compressa,Resistant,Ambient,A2,TP1,,Physiology & C13,
209,MC-209-H1-pHi,Montipora capitata,Susceptible,High,H1,TP2,,Intracellular pH,
209,MC-209-H1,Montipora capitata,Susceptible,High,H1,TP2,,Physiology & C13,
209,MC-209-H2-pHi,Montipora capitata,Susceptible,High,H2,BACKUP,,Intracellular pH,
209,MC-209-H2,Montipora capitata,Susceptible,High,H2,BACKUP,,Physiology & C13,
226,PC-226-A2,Porites compressa,Resistant,Ambient,A2,TP1,,Physiology & C13,
241,PC-241-A2,Porites compressa,Susceptible,Ambient,A2,TP1,,Physiology & C13,
20,MC-20-A3-pHi,Montipora capitata,Resistant,Ambient,A3,TP1,,Intracellular pH,
20,MC-20-A3,Montipora capitata,Resistant,Ambient,A3,TP1,,Physiology & C13,
211,MC-211-A2-pHi,Montipora capitata,Susceptible,Ambient,A2,TP2,,Intracellular pH,
211,MC-211-A2,Montipora capitata,Susceptible,Ambient,A2,TP2,,Physiology & C13,
211,MC-211-A3-pHi,Montipora capitata,Susceptible,Ambient,A3,BACKUP,,Intracellular pH,
211,MC-211-A3,Montipora capitata,Susceptible,Ambient,A3,BACKUP,,Physiology & C13,
203,MC-203-A3-pHi,Montipora capitata,Susceptible,Ambient,A3,TP1,,Intracellular pH,
